Embeddings,Media,Media Ponderada,SimLex 999,MTurk 287,MTurk 771,MEN DEV,MEN TEST,MEN ALL,WS353 all,WS353 relatedness,WS353 similarity,WS353 set1,WS353 set2,RG65,VERB 143,MC 30,YP 130,SimVerb 3500,RW
Normalize: False. Generate words: False,,,,,,,,,,,,,,,,,,,
GLOVE+W2V,0.642,0.574,0.4472176721,0.7072649749,0.7370694463,0.8256630776,0.8266424948,0.8261625696,0.7605691383,0.7019113439,0.8207091905,0.7507248182,0.701246286,0.8458218179,0.4271961224,0.8409925916,0.5905788617,0.355596124,0.5212102526
GLOVE+FT,0.668,0.603,0.478973441,0.7408015956,0.7702116226,0.8507367727,0.8519469933,0.8512964079,0.7972300015,0.7425686168,0.8463103795,0.7766632692,0.7523277852,0.8513730631,0.4349026262,0.8443307469,0.6369909244,0.383068805,0.5569002217
GLOVE+jointcHYB,0.686,0.619,0.5312134273,0.7254101795,0.77539443,0.8397473637,0.8498321316,0.8431569163,0.8025850848,0.7376230787,0.8537543204,0.8095646581,0.7320651472,0.8819486225,0.4136091861,0.867697834,0.7697109309,0.4837147798,0.4485227093
GLOVE+UKB,0.708,0.639,0.54190096,0.7515644438,0.784815143,0.8530397553,0.8592893259,0.8553301501,0.8225503595,0.7700750326,0.8664408672,0.8301803822,0.7561327958,0.8883522242,0.4440390163,0.897518688,0.8065019147,0.4963239491,0.5039795542
GLOVE+LEXVEC,0.640,0.577,0.4618468306,0.7294067138,0.7539979753,0.8298223811,0.8306923396,0.8302238106,0.775555678,0.7291957917,0.8247905187,0.7552249266,0.7369697331,0.776474963,0.399390767,0.8093913881,0.6284230486,0.3487813103,0.5302283413
W2V+FT,0.663,0.601,0.481772468,0.7277662183,0.7470214702,0.8283062666,0.8314779958,0.8294073833,0.7512900223,0.6920266417,0.8188306319,0.7253442733,0.7021583485,0.8505644171,0.4791949122,0.8681429214,0.5912244616,0.4007799823,0.5678689744
W2V+jointcHYB,0.680,0.620,0.5429815179,0.6997425051,0.7439770109,0.8150585914,0.8198781267,0.8168471906,0.7774708384,0.7153164144,0.8390866438,0.7729036849,0.701858328,0.8894231338,0.4422491446,0.8672527467,0.7268715521,0.5123263748,0.458097585
W2V+UKB,0.697,0.640,0.5550249866,0.7327596425,0.7605906076,0.8253905617,0.8287418295,0.8267344482,0.7790332492,0.7200129884,0.8405807398,0.7788965695,0.7020278396,0.88656009,0.4430549535,0.8859464163,0.761184089,0.5301092463,0.5045330571
W2V+LEXVEC,0.641,0.578,0.4671850436,0.7180011711,0.7383096953,0.8148902539,0.8163016143,0.8154647529,0.7415731748,0.6834501262,0.8129969865,0.7288776794,0.6962944468,0.8139349407,0.4554760954,0.822298922,0.5710932362,0.3661763085,0.538364706
FT+jointcHYB,0.705,0.648,0.5730299332,0.717857504,0.7802649758,0.8479102926,0.8516199887,0.8493491305,0.809869924,0.7518290339,0.8615733992,0.7994871627,0.746661147,0.9122182077,0.4205635416,0.8888394843,0.7750617499,0.5383444936,0.4847839069
FT+UKB,0.727,0.668,0.5785496369,0.7548637103,0.7919372664,0.8583456647,0.8635182211,0.8602268003,0.8180550524,0.7704109843,0.8667700991,0.8067231897,0.7633055372,0.9045251434,0.5009750365,0.8926227269,0.8041438339,0.5469279607,0.5456228079
FT+LEXVEC,0.670,0.608,0.4954381758,0.7429731009,0.7765104132,0.8425810962,0.8417880502,0.8422614096,0.780664955,0.7253608437,0.8398720663,0.7449782165,0.7479384845,0.8335391414,0.4689302996,0.8454434654,0.6206266099,0.3932683891,0.5742236062
jointcHYB+UKB,0.661,0.606,0.5514477413,0.6644095381,0.7027856142,0.7855893645,0.7969265515,0.7894151958,0.769677063,0.6983456072,0.8380767123,0.7853887216,0.6881053859,0.8788014598,0.2624756365,0.900411756,0.8294453291,0.571819056,0.3455971955
jointcHYB+LEXVEC,0.688,0.630,0.5552697386,0.7203376651,0.7741045899,0.8351458908,0.8431501104,0.8377690078,0.798603488,0.7365117386,0.8523663819,0.7887344835,0.7428981392,0.8711958167,0.4074371453,0.871258533,0.7581940864,0.5047579796,0.4731291142
UKB+LEXVEC,0.701,0.644,0.5543087793,0.7430926542,0.7841858152,0.8433730186,0.8469956306,0.8446835327,0.8116563158,0.7606732609,0.8625352728,0.8011642322,0.7614026568,0.8765940749,0.4237149224,0.8567931934,0.7885126583,0.5110968872,0.520177098
GLOVE+W2V+FT,0.663,0.597,0.4700907559,0.7280395919,0.7596246415,0.8402219458,0.8426893342,0.8411826863,0.7800078804,0.7228550793,0.8330815683,0.7612312144,0.7329622086,0.8626722512,0.4470093989,0.848559077,0.6144195505,0.3821578808,0.5559100697
GLOVE+W2V+jointcHYB,0.680,0.615,0.5137529484,0.7229698696,0.7689506234,0.8354122609,0.8425119763,0.8379482014,0.7964378835,0.739135236,0.8468605339,0.7920534392,0.7295284734,0.8919146375,0.4293681015,0.8596862613,0.7050169035,0.4554061676,0.5012797245
GLOVE+W2V+UKB,0.697,0.631,0.5238471341,0.7500186265,0.7802606948,0.8456100018,0.8503151211,0.8473246715,0.8083357365,0.7570989004,0.8573529185,0.8029217206,0.7446134109,0.8970069215,0.4408876354,0.8799377368,0.7325561134,0.4646958084,0.5386403006
GLOVE+W2V+LEXVEC,0.649,0.582,0.4611330065,0.7266856692,0.7536415295,0.8286254908,0.8311588417,0.8296447489,0.7706574233,0.7178473001,0.8274157667,0.7539533025,0.7253581877,0.827681922,0.4306190006,0.8202960288,0.6135824592,0.3594038458,0.5402818771
GLOVE+FT+jointcHYB,0.696,0.634,0.5363272253,0.7377061536,0.790678079,0.8541303697,0.8600308377,0.8562417413,0.8145687511,0.758852148,0.8632389254,0.8055990003,0.756441817,0.8982308181,0.4281574242,0.8623567856,0.7399285352,0.4732075451,0.5205758786
GLOVE+FT+UKB,0.714,0.649,0.5436945296,0.763560646,0.8005357856,0.8628012048,0.8675142283,0.8646082724,0.8270252056,0.7790613642,0.8726769071,0.8182666549,0.7732752201,0.8942312989,0.4661107489,0.8843886105,0.7682638025,0.4793541348,0.5617300297
