,vs media (NO MAPPING),,vs mejor word embedding,,,,,,,,,,,,,,,,,,,,
Embeddings,Media (Diferencia),Media Ponderada (Diferecia),Media (Diferencia),Media Ponderada (Diferecia),Media,Media Ponderada,SimLex 999,MTurk 287,MTurk 771,MEN DEV,MEN TEST,MEN ALL,WS353 all,WS353 relatedness,WS353 similarity,WS353 set1,WS353 set2,RG65,VERB 143,MC 30,YP 130,SimVerb 3500,RW
Normalize: False. Generate words: False,,,,,,,,,,,,,,,,,,,,,,,
GLOVE + W2V,0.040,0.047,0.015,0.005,0.644,0.576,0.4533945392,0.7102987366,0.731527182,0.8251839627,0.8252524235,0.8253390334,0.7654882634,0.7147026278,0.8174685155,0.7551059737,0.7100661402,0.8407732444,0.4368614296,0.8498943391,0.5824541519,0.356310265,0.5333165918
GLOVE + FT,0.041,0.044,-0.007,-0.015,0.668,0.605,0.4793199838,0.7376789939,0.7685596025,0.8505902929,0.8543563231,0.8518797297,0.7977660828,0.7467837601,0.844889446,0.7754184514,0.7540199011,0.8458436732,0.4413079536,0.8374318927,0.6371824158,0.3816838039,0.5704927227
GLOVE + jointcHYB,0.044,0.046,0.031,0.013,0.685,0.619,0.5340416062,0.7268318745,0.7743342696,0.8407127867,0.8478950059,0.843166787,0.8084053174,0.7513228568,0.8549457239,0.8126222523,0.7405639793,0.8841778627,0.4063431114,0.8643596787,0.7641166442,0.4840246514,0.4503585519
GLOVE + UKB,0.050,0.058,0.071,0.029,0.701,0.639,0.5512423962,0.7503805863,0.790863399,0.8530346268,0.8628909325,0.8565832351,0.8177620492,0.7690469306,0.8605146926,0.8283290717,0.747025672,0.89357564,0.4082295155,0.8694781835,0.7781529694,0.4945391128,0.5038512924
GLOVE + LEXVEC,0.046,0.054,0.012,0.005,0.642,0.578,0.4651578693,0.7298638594,0.7523636682,0.8322979543,0.8318433229,0.8322092796,0.777290235,0.7318504096,0.8224156017,0.7614992775,0.7377640375,0.7773054643,0.4124668859,0.8227440093,0.6138943167,0.3450378318,0.5356702261
W2V + FT,0.015,0.010,-0.014,-0.020,0.661,0.600,0.4761842236,0.7204100063,0.7439518488,0.8248567426,0.8276217322,0.825929373,0.7521581192,0.6973422516,0.8173788554,0.7207553689,0.7088923098,0.8560500965,0.466179126,0.8639145914,0.5875259405,0.3976090065,0.5777908234
W2V + jointcHYB,0.020,0.018,0.026,0.013,0.680,0.619,0.5404644891,0.6960779789,0.7442799251,0.8174144551,0.8204696737,0.818470779,0.7745032946,0.7131885957,0.83483532,0.7719369825,0.690384792,0.8930074023,0.4392485956,0.8757094068,0.7279685247,0.5031622375,0.4656681818
W2V + UKB,0.034,0.020,0.066,0.028,0.696,0.638,0.5593617459,0.7215623298,0.7600230068,0.8244983973,0.8296075098,0.8263374504,0.7744210409,0.7214340339,0.8376614067,0.7803759425,0.6892657154,0.8847461004,0.4668410308,0.8806053679,0.7422209617,0.5166031388,0.5181189759
W2V + LEXVEC,0.017,0.019,0.007,0.005,0.637,0.578,0.4670832604,0.7110820522,0.7367113116,0.8119099021,0.8147625204,0.8128639283,0.7337242908,0.6739834888,0.8013189366,0.7112910678,0.6995549202,0.8087989461,0.453475059,0.8191833104,0.5442734872,0.36384563,0.5505503174
FT + jointcHYB,0.028,0.024,0.030,0.028,0.705,0.648,0.5730299332,0.717857504,0.7802649758,0.8479102926,0.8516199887,0.8493489062,0.809869924,0.7518290339,0.8615733992,0.7994871627,0.746661147,0.9122182077,0.4205635416,0.8888394843,0.7750617499,0.5383444936,0.4855001039
FT + UKB,0.018,0.024,0.050,0.052,0.725,0.672,0.5916682593,0.7506894959,0.7961322184,0.8560878261,0.8655974432,0.8595597806,0.8178483951,0.7754528836,0.8644604547,0.814445081,0.7594180209,0.9048966835,0.4678121326,0.8886169406,0.7919731828,0.5560304425,0.5487610336
FT + LEXVEC,0.006,0.003,-0.009,-0.013,0.666,0.607,0.4965876294,0.7413714412,0.7740069002,0.8407458581,0.8424089827,0.8411979552,0.7758400875,0.7217099941,0.8358502725,0.7412337107,0.7498188633,0.8206445167,0.4697025589,0.8443307469,0.5960172196,0.3900492958,0.5788650344
jointcHYB + UKB,0.035,0.034,0.007,0.006,0.661,0.616,0.5563953121,0.6522732223,0.7080469714,0.7911865439,0.8023112797,0.7950994022,0.7592687662,0.6922966028,0.8311484963,0.7830951071,0.65926066,0.8763536666,0.2827957082,0.8935129017,0.8045787931,0.5688802883,0.3771354832
jointcHYB + LEXVEC,0.032,0.020,0.038,0.022,0.692,0.628,0.555817155,0.7168561494,0.771316491,0.8321566669,0.8418616042,0.8354471357,0.7999675624,0.7370617845,0.8542937156,0.7950289391,0.7336552561,0.8731190828,0.4483769413,0.8948481638,0.7435969647,0.5020915947,0.4711629984
UKB + LEXVEC,0.026,0.018,0.074,0.035,0.704,0.645,0.567419542,0.7563184031,0.7898279163,0.8420346067,0.8505313897,0.8450192369,0.8094196431,0.7621531729,0.8569297228,0.7984701985,0.7548704593,0.8694911036,0.4241714403,0.8883943969,0.7616792313,0.5109269316,0.5161942235
