,,,,,,,,,,,,,,,,,,,
Embeddings,Media,Media Ponderada,SimLex 999,MTurk 287,MTurk 771,MEN DEV,MEN TEST,MEN ALL,WS353 all,WS353 relatedness,WS353 similarity,WS353 set1,WS353 set2,RG65,VERB 143,MC 30,YP 130,SimVerb 3500,RW
Normalize: False. Generate words: False,,,,,,,,,,,,,,,,,,,
GLOVE+W2V,0.643,0.574,0.4533945392,0.7102987366,0.731527182,0.8251839627,0.8252524235,0.8253390334,0.7654882634,0.7147026278,0.8174685155,0.7551059737,0.7100661402,0.8407732444,0.4368614296,0.8498943391,0.5824541519,0.356310265,0.524139561
GLOVE+FT,0.667,0.603,0.4793199838,0.7376789939,0.7685596025,0.8505902929,0.8543563231,0.8518797297,0.7977660828,0.7467837601,0.844889446,0.7754184514,0.7540199011,0.8458436732,0.4413079536,0.8374318927,0.6371824158,0.3816838039,0.5617978975
GLOVE+jointcHYB,0.685,0.619,0.5340416062,0.7268318745,0.7743342696,0.8407127867,0.8478950059,0.843166787,0.8084053174,0.7513228568,0.8549457239,0.8126222523,0.7405639793,0.8841778627,0.4063431114,0.8643596787,0.7641166442,0.4840246514,0.4496943063
GLOVE+UKB,0.701,0.639,0.5512423962,0.7503805863,0.790863399,0.8530346268,0.8628909325,0.8565832351,0.8177620492,0.7690469306,0.8605146926,0.8283290717,0.747025672,0.89357564,0.4082295155,0.8694781835,0.7781529694,0.4945391128,0.5028604344
GLOVE+LEXVEC,0.642,0.577,0.4651578693,0.7298638594,0.7523636682,0.8322979543,0.8318433229,0.8322092796,0.777290235,0.7318504096,0.8224156017,0.7614992775,0.7377640375,0.7773054643,0.4124668859,0.8227440093,0.6138943167,0.3450378318,0.5290862754
W2V+FT,0.660,0.598,0.4761842236,0.7204100063,0.7439518488,0.8248567426,0.8276217322,0.825929373,0.7521581192,0.6973422516,0.8173788554,0.7207553689,0.7088923098,0.8560500965,0.466179126,0.8639145914,0.5875259405,0.3976090065,0.5669963045
W2V+jointcHYB,0.679,0.617,0.5404644891,0.6960779789,0.7442799251,0.8174144551,0.8204696737,0.818470779,0.7745032946,0.7131885957,0.83483532,0.7719369825,0.690384792,0.8930074023,0.4392485956,0.8757094068,0.7279685247,0.5031622375,0.4585709774
W2V+UKB,0.692,0.635,0.5593617459,0.7140198665,0.7600230068,0.8244983973,0.8296075098,0.8263374504,0.7744210409,0.7214340339,0.8376614067,0.7803759425,0.6892657154,0.8847461004,0.4506312728,0.8806053679,0.7422209617,0.5166031388,0.5043636049
W2V+LEXVEC,0.635,0.576,0.4670832604,0.7110820522,0.7367113116,0.8119099021,0.8147625204,0.8128639283,0.7337242908,0.6739834888,0.8013189366,0.7112910678,0.6995549202,0.8087989461,0.453475059,0.8191833104,0.5442734872,0.36384563,0.5386406743
FT+jointcHYB,0.705,0.648,0.5730299332,0.717857504,0.7802649758,0.8479102926,0.8516199887,0.8493489062,0.809869924,0.7518290339,0.8615733992,0.7994871627,0.746661147,0.9122182077,0.4205635416,0.8888394843,0.7750617499,0.5383444936,0.484784027
FT+UKB,0.725,0.672,0.5916682593,0.7506894959,0.7961322184,0.8560878261,0.8655974432,0.8595597806,0.8178483951,0.7754528836,0.8644604547,0.814445081,0.7594180209,0.9048966835,0.4678121326,0.8886169406,0.7919731828,0.5560304425,0.5479516516
FT+LEXVEC,0.666,0.606,0.4965876294,0.7413714412,0.7740069002,0.8407458581,0.8424089827,0.8411979552,0.7758400875,0.7217099941,0.8358502725,0.7412337107,0.7498188633,0.8206445167,0.4697025589,0.8443307469,0.5960172196,0.3900492958,0.5723193629
jointcHYB+UKB,0.659,0.607,0.5563953121,0.6522732223,0.7080469714,0.7911865439,0.8023112797,0.7950994022,0.7592687662,0.6922966028,0.8311484963,0.7830951071,0.65926066,0.8763536666,0.2827957082,0.8935129017,0.8045787931,0.5688802883,0.3465418968
jointcHYB+LEXVEC,0.692,0.628,0.555817155,0.7168561494,0.771316491,0.8321566669,0.8418616042,0.8354471357,0.7999675624,0.7370617845,0.8542937156,0.7950289391,0.7336552561,0.8731190828,0.4483769413,0.8948481638,0.7435969647,0.5020915947,0.4704680677
UKB+LEXVEC,0.703,0.645,0.567419542,0.7563184031,0.7898279163,0.8420346067,0.8505313897,0.8450192369,0.8094196431,0.7621531729,0.8569297228,0.7984701985,0.7548704593,0.8694911036,0.4241714403,0.8883943969,0.7616792313,0.5109269316,0.5151790923
GLOVE+W2V+FT,0.664,0.597,0.4726454703,0.7274164422,0.7551333865,0.8387025356,0.8418564245,0.8399059463,0.7809212646,0.7299659308,0.8304355191,0.7568416819,0.7353961253,0.8646829385,0.4480028782,0.8656949409,0.6078623352,0.3815311344,0.5582434351
GLOVE+W2V+jointcHYB,0.681,0.613,0.5156680183,0.7200680989,0.7651926963,0.8358536823,0.8400501774,0.837407156,0.7995437445,0.7483191641,0.845760225,0.7957242276,0.7308493139,0.8876091442,0.4388343107,0.8701458146,0.6998904031,0.4488089392,0.5031902665
GLOVE+W2V+UKB,0.694,0.629,0.5336372712,0.7487870492,0.7815843898,0.8459299266,0.8513922204,0.8479913035,0.8057696528,0.7634463617,0.8475727938,0.8005074777,0.7414340389,0.8886144878,0.4394215495,0.878379931,0.7140853927,0.4584083649,0.5373742649
GLOVE+W2V+LEXVEC,0.648,0.581,0.4652714678,0.7222548339,0.7476571868,0.8289546771,0.8303466508,0.8295432253,0.7710877887,0.7229671882,0.8216395038,0.7527235633,0.7284558999,0.823988377,0.4376879883,0.8530099507,0.5812805828,0.3574940673,0.5402072509
GLOVE+FT+jointcHYB,0.697,0.634,0.5361000945,0.7384742395,0.7892305451,0.8547373273,0.8600187798,0.8566488746,0.8164604494,0.7661628457,0.8611344233,0.8033137628,0.7598027972,0.8944279966,0.4282660232,0.8652498535,0.746058998,0.4710967809,0.5249332057
GLOVE+FT+UKB,0.713,0.652,0.5540800898,0.7642637518,0.8048460749,0.8636827497,0.8721576006,0.8666398925,0.8275192733,0.7852892177,0.8671445197,0.818921734,0.7738205074,0.9048311176,0.440791103,0.8768221252,0.7615916923,0.4831575401,0.5637899183
GLOVE+FT+LEXVEC,0.664,0.599,0.4827503142,0.7405081695,0.7700423216,0.8456104789,0.8474883072,0.8462178878,0.7920703902,0.7451276235,0.8383234569,0.7645870287,0.7565348234,0.8226114933,0.4484292297,0.8465561838,0.6216825486,0.3737984717,0.560075226
GLOVE+jointcHYB+UKB,0.702,0.640,0.5647548339,0.7381328397,0.7786123011,0.8455915267,0.8571777112,0.8496565725,0.8146620538,0.7626496014,0.8641584795,0.823207392,0.7413815353,0.8956081826,0.4151597379,0.8868365911,0.7967632053,0.5347614093,0.4443500545
GLOVE+jointcHYB+LEXVEC,0.684,0.617,0.5234281991,0.7373670383,0.7809859974,0.8432544352,0.8490017008,0.8451132639,0.8081398685,0.7575499604,0.8517251328,0.7993464296,0.7518462522,0.8639180031,0.4370947163,0.867030203,0.7134206437,0.443023495,0.5087707474
GLOVE+UKB+LEXVEC,0.693,0.630,0.5361442015,0.7600636468,0.7962740663,0.8517949233,0.8587628222,0.8542673057,0.816398384,0.7756043617,0.8546279685,0.8082746046,0.7608858714,0.8664750728,0.4061963017,0.8710359893,0.7280970975,0.4501227973,0.5392708298
W2V+FT+jointcHYB,0.692,0.632,0.5370083108,0.7178542042,0.7722929174,0.8386566278,0.8434873844,0.8402837932,0.7927112323,0.7393774511,0.8459818648,0.7730678735,0.7258404708,0.8979904099,0.452553979,0.8757094068,0.7111528375,0.4837330309,0.5288938049
W2V+FT+UKB,0.707,0.650,0.5553851245,0.7464584239,0.78679008,0.8467249864,0.854169068,0.8493098127,0.799691201,0.7535106669,0.8528297453,0.7848911295,0.7342695482,0.8949962343,0.4735739106,0.8859464163,0.7210365333,0.4983171443,0.565968442
W2V+FT+LEXVEC,0.657,0.597,0.480427202,0.7274677157,0.7585907559,0.8298387885,0.8338066652,0.8311518582,0.7598684133,0.7076195223,0.8192911262,0.726614222,0.727391577,0.8391778078,0.4650287815,0.848559077,0.5693944333,0.3857659921,0.5656464069
W2V+jointcHYB+UKB,0.693,0.638,0.5703709785,0.7081127631,0.7578390212,0.8297209298,0.8371466705,0.8323741815,0.7892232941,0.7341165834,0.8484399864,0.7971985744,0.6992879019,0.8925047305,0.4145845656,0.8821631737,0.7799639317,0.5478006005,0.4529370088
W2V+jointcHYB+LEXVEC,0.682,0.617,0.5269757328,0.7201592234,0.7673210162,0.8274553271,0.8352046652,0.8300256067,0.7846517352,0.728623624,0.8392760059,0.7702347822,0.721552427,0.8831725191,0.4655074214,0.8763770378,0.6760442431,0.4580160586,0.5149518699
W2V+UKB+LEXVEC,0.689,0.631,0.5416915406,0.7438833309,0.782524644,0.8369580213,0.8446435955,0.8395085512,0.7905392167,0.744450096,0.8419650919,0.7743931103,0.7338720209,0.866125388,0.4516670875,0.8605764361,0.691754751,0.4686395105,0.5444432644
FT+jointcHYB+UKB,0.712,0.658,0.5887823122,0.7302273422,0.7775491034,0.847626236,0.8566780903,0.8507965469,0.8116842794,0.7612191823,0.8660893996,0.8144400548,0.7398701818,0.9024926009,0.426574695,0.8903972901,0.8057769827,0.5686816537,0.4746131574
