,vs mejor embedding,,,,,,,,,,,,,,,,,,,,
Embedding,Media (Diferencia),Media Ponderada (Diferecia),Media,Media Ponderada,SimLex 999,MTurk 287,MTurk 771,MEN DEV,MEN TEST,MEN ALL,WS353 all,WS353 relatedness,WS353 similarity,WS353 set1,WS353 set2,RG65,VERB 143,MC 30,YP 130,SimVerb 3500,RW
FastText_CC -> jointcHYB_ENES -> UKB -> Subword_Lexvec -> GLOVE_CC_840B(L2 dimensionwise) -> W2V -> SketchEngine_web -> PDC300,-0.002,-0.003,0.673,0.618,0.503,0.726,0.762,0.835,0.839,0.837,0.786,0.734,0.834,0.736,0.763,0.863,0.447,0.852,0.625,0.426,0.582
jointcHYB_ENES -> UKB -> Subword_Lexvec -> GLOVE_CC_840B(L2 dimensionwise) -> W2V -> SketchEngine_web -> PDC300,-0.001,-0.004,0.653,0.601,0.541,0.625,0.692,0.777,0.783,0.780,0.756,0.668,0.825,0.773,0.668,0.863,0.304,0.877,0.816,0.558,0.372
UKB -> Subword_Lexvec -> GLOVE_CC_840B(L2 dimensionwise) -> W2V -> SketchEngine_web -> PDC300,0.014,-0.014,0.644,0.596,0.525,0.610,0.680,0.755,0.756,0.756,0.720,0.629,0.779,0.768,0.605,0.823,0.365,0.873,0.768,0.545,0.423
Subword_Lexvec -> GLOVE_CC_840B(L2 dimensionwise) -> W2V -> SketchEngine_web -> PDC300,-0.002,-0.002,0.628,0.571,0.477,0.717,0.738,0.807,0.805,0.807,0.737,0.674,0.805,0.715,0.703,0.744,0.441,0.784,0.578,0.352,0.533
GLOVE_CC_840B(L2 dimensionwise) -> W2V -> SketchEngine_web -> PDC300,-0.002,-0.002,0.628,0.569,0.453,0.721,0.736,0.829,0.829,0.829,0.775,0.727,0.815,0.767,0.721,0.757,0.392,0.788,0.597,0.338,0.520
W2V -> SketchEngine_web -> PDC300,-0.009,-0.010,0.607,0.545,0.442,0.672,0.671,0.767,0.769,0.768,0.690,0.626,0.771,0.652,0.653,0.761,0.477,0.788,0.559,0.364,0.485
SketchEngine_web -> PDC300,0.000,0.000,0.610,0.545,0.412,0.743,0.714,0.789,0.790,0.789,0.743,0.686,0.770,0.729,0.709,0.714,0.470,0.712,0.582,0.315,0.515
FastText_CC -> jointcHYB_ENES,-0.002,-0.002,0.674,0.618,0.503,0.726,0.762,0.835,0.839,0.837,0.786,0.734,0.834,0.736,0.763,0.863,0.447,0.852,0.625,0.426,0.583
 UKB -> Subword_Lexvec,0.014,-0.014,0.644,0.596,0.525,0.610,0.680,0.755,0.756,0.756,0.720,0.629,0.779,0.768,0.605,0.823,0.365,0.873,0.768,0.545,0.423
