,,vs concatenación sin L2,,,,,,,,,,,,,,,,,,,,
Embeddings,Pesos,Media (Diferencia),Media Ponderada (Diferecia),Media,Media Ponderada,SimLex 999,MTurk 287,MTurk 771,MEN DEV,MEN TEST,MEN ALL,WS353 all,WS353 relatedness,WS353 similarity,WS353 set1,WS353 set2,RG65,VERB 143,MC 30,YP 130,SimVerb 3500,RW
GLOVE+W2V,"[1,1]",0.029,0.026,0.641,0.579,0.460,0.730,0.731,0.820,0.817,0.819,0.763,0.714,0.812,0.736,0.717,0.794,0.459,0.804,0.592,0.365,0.536
GLOVE+W2V,"[2,1]",0.026,0.023,0.638,0.576,0.459,0.730,0.739,0.829,0.828,0.828,0.777,0.727,0.821,0.765,0.723,0.769,0.430,0.804,0.597,0.351,0.531
GLOVE+W2V,"[1,2]",0.017,0.015,0.629,0.567,0.452,0.711,0.703,0.797,0.795,0.797,0.725,0.668,0.795,0.687,0.687,0.780,0.480,0.799,0.574,0.368,0.525
GLOVE+W2V,"[8,1]",0.017,0.017,0.628,0.570,0.454,0.721,0.736,0.829,0.829,0.829,0.775,0.726,0.816,0.766,0.720,0.757,0.393,0.788,0.597,0.339,0.522
GLOVE+W2V,"[1,8]",0.001,0.000,0.612,0.553,0.443,0.689,0.674,0.775,0.773,0.774,0.692,0.629,0.773,0.656,0.655,0.763,0.478,0.787,0.560,0.364,0.510
GLOVE+FT,"[1,1]",-0.011,-0.016,0.663,0.604,0.484,0.739,0.764,0.845,0.847,0.846,0.800,0.754,0.841,0.765,0.766,0.813,0.443,0.840,0.616,0.387,0.565
GLOVE+FT,"[2,1]",-0.031,-0.036,0.644,0.584,0.466,0.730,0.749,0.837,0.837,0.837,0.785,0.738,0.826,0.769,0.740,0.780,0.416,0.811,0.607,0.358,0.541
GLOVE+FT,"[1,2]",-0.002,-0.004,0.673,0.616,0.498,0.735,0.768,0.844,0.847,0.845,0.796,0.749,0.841,0.747,0.771,0.849,0.449,0.841,0.623,0.412,0.581
GLOVE+FT,"[8,1]",-0.046,-0.050,0.629,0.570,0.454,0.721,0.736,0.830,0.829,0.830,0.775,0.727,0.816,0.766,0.722,0.757,0.391,0.788,0.598,0.339,0.525
