,vs mejor embedding,,,,,,,,,,,,,,,,,,,,,
Embeddings,Pesos,Media (Diferencia),Media Ponderada (Diferecia),Media,Media Ponderada,SimLex 999,MTurk 287,MTurk 771,MEN DEV,MEN TEST,MEN ALL,WS353 all,WS353 relatedness,WS353 similarity,WS353 set1,WS353 set2,RG65,VERB 143,MC 30,YP 130,SimVerb 3500,RW
GLOVE+W2V,"[1,1]",-0.017,-0.018,0.612,0.553,0.442,0.688,0.671,0.772,0.771,0.772,0.690,0.625,0.771,0.653,0.653,0.761,0.478,0.788,0.559,0.364,0.517
GLOVE+W2V,"[2,1]",-0.017,-0.018,0.612,0.553,0.442,0.688,0.671,0.772,0.771,0.772,0.690,0.625,0.771,0.653,0.653,0.761,0.478,0.788,0.559,0.364,0.517
GLOVE+W2V,"[1,2]",-0.017,-0.018,0.612,0.553,0.442,0.688,0.671,0.772,0.771,0.772,0.690,0.625,0.771,0.653,0.653,0.761,0.478,0.788,0.559,0.364,0.517
GLOVE+W2V,"[8,1]",-0.017,-0.018,0.612,0.553,0.442,0.688,0.671,0.772,0.771,0.772,0.690,0.626,0.771,0.653,0.653,0.761,0.478,0.788,0.559,0.364,0.517
GLOVE+W2V,"[1,8]",-0.017,-0.018,0.612,0.553,0.442,0.688,0.671,0.772,0.771,0.772,0.690,0.625,0.771,0.653,0.653,0.761,0.478,0.788,0.559,0.364,0.517
GLOVE+FT,"[1,1]",0.000,0.000,0.675,0.620,0.503,0.726,0.762,0.835,0.839,0.837,0.786,0.734,0.834,0.736,0.763,0.863,0.447,0.852,0.625,0.426,0.595
GLOVE+FT,"[2,1]",0.000,0.000,0.675,0.620,0.503,0.726,0.762,0.835,0.839,0.837,0.786,0.734,0.834,0.736,0.763,0.863,0.447,0.852,0.625,0.426,0.595
GLOVE+FT,"[1,2]",0.000,0.000,0.675,0.620,0.503,0.726,0.762,0.835,0.839,0.837,0.786,0.734,0.834,0.736,0.763,0.863,0.447,0.852,0.625,0.426,0.595
GLOVE+FT,"[8,1]",0.000,0.000,0.675,0.620,0.503,0.726,0.762,0.835,0.839,0.837,0.786,0.734,0.834,0.736,0.763,0.863,0.447,0.852,0.625,0.426,0.595
GLOVE+FT,"[1,8]",0.000,0.000,0.675,0.620,0.503,0.726,0.762,0.835,0.839,0.837,0.786,0.734,0.834,0.736,0.763,0.863,0.447,0.852,0.625,0.426,0.595
GLOVE+jointcHYB,"[1,1]",-0.001,-0.005,0.653,0.601,0.541,0.625,0.692,0.777,0.783,0.780,0.756,0.668,0.825,0.773,0.668,0.863,0.304,0.877,0.816,0.558,0.373
GLOVE+jointcHYB,"[2,1]",-0.001,-0.005,0.653,0.601,0.541,0.625,0.692,0.777,0.783,0.780,0.756,0.668,0.825,0.773,0.668,0.863,0.304,0.877,0.816,0.558,0.373
GLOVE+jointcHYB,"[1,2]",-0.001,-0.005,0.653,0.601,0.541,0.625,0.692,0.777,0.783,0.780,0.756,0.668,0.825,0.773,0.668,0.863,0.304,0.877,0.816,0.558,0.373
GLOVE+jointcHYB,"[8,1]",-0.001,-0.005,0.653,0.601,0.541,0.625,0.692,0.777,0.783,0.780,0.756,0.668,0.825,0.773,0.668,0.863,0.304,0.877,0.816,0.558,0.373
GLOVE+jointcHYB,"[1,8]",-0.001,-0.005,0.653,0.601,0.541,0.625,0.692,0.777,0.783,0.780,0.756,0.668,0.825,0.773,0.668,0.863,0.304,0.877,0.816,0.558,0.373
GLOVE+UKB,"[1,1]",0.002,-0.013,0.632,0.597,0.525,0.556,0.678,0.755,0.756,0.756,0.712,0.620,0.780,0.764,0.588,0.823,0.276,0.873,0.768,0.545,0.442
GLOVE+UKB,"[2,1]",0.002,-0.013,0.632,0.597,0.525,0.556,0.678,0.755,0.756,0.756,0.712,0.620,0.780,0.764,0.588,0.823,0.276,0.873,0.768,0.545,0.442
GLOVE+UKB,"[1,2]",0.002,-0.013,0.632,0.597,0.525,0.556,0.678,0.755,0.756,0.756,0.712,0.620,0.780,0.764,0.588,0.823,0.276,0.873,0.768,0.545,0.442
GLOVE+UKB,"[8,1]",0.002,-0.013,0.632,0.597,0.525,0.556,0.678,0.755,0.756,0.756,0.712,0.620,0.780,0.764,0.589,0.823,0.277,0.873,0.768,0.545,0.442
GLOVE+UKB,"[1,8]",0.002,-0.013,0.632,0.597,0.525,0.556,0.678,0.755,0.756,0.756,0.712,0.620,0.780,0.764,0.588,0.823,0.276,0.873,0.768,0.545,0.442
GLOVE+LEXVEC,"[1,1]",-0.002,-0.001,0.628,0.572,0.477,0.717,0.738,0.807,0.805,0.807,0.737,0.674,0.805,0.715,0.703,0.744,0.441,0.784,0.578,0.352,0.538
GLOVE+LEXVEC,"[2,1]",-0.002,-0.001,0.628,0.572,0.477,0.717,0.738,0.807,0.805,0.807,0.737,0.674,0.805,0.715,0.703,0.744,0.441,0.784,0.578,0.352,0.538
