,,vs mejor embedding,,,,,,,,,,,,,,,,,,,,
Embeddings,Pesos,Media (Diferencia),Media Ponderada (Diferecia),Media,Media Ponderada,SimLex 999,MTurk 287,MTurk 771,MEN DEV,MEN TEST,MEN ALL,WS353 all,WS353 relatedness,WS353 similarity,WS353 set1,WS353 set2,RG65,VERB 143,MC 30,YP 130,SimVerb 3500,RW
GLOVE+W2V,"[1,1]",-0.018,-0.018,0.611,0.551,0.4419655109,0.6876226882,0.6713142707,0.7722713235,0.7705245951,0.7715876986,0.6898587959,0.6254594732,0.7709657618,0.6532654694,0.6530142321,0.7607828604,0.4782798654,0.7880271942,0.5589991817,0.3635489774,0.5080355871
GLOVE+W2V,"[2,1]",-0.018,-0.018,0.611,0.551,0.4419636212,0.6876226882,0.6713186825,0.7722724376,0.7705299308,0.771591222,0.6898587959,0.6254594732,0.7709657618,0.6532654694,0.6530142321,0.7607828604,0.4782798654,0.7880271942,0.5589991817,0.3635473589,0.5080302725
GLOVE+W2V,"[1,2]",-0.018,-0.018,0.611,0.551,0.4419655109,0.6875891828,0.6713097017,0.772269601,0.7705220442,0.7715868674,0.6898587959,0.6254594732,0.7709657618,0.6532654694,0.6530142321,0.7607828604,0.4782798654,0.7880271942,0.5589991817,0.3635485783,0.5080340117
GLOVE+W2V,"[8,1]",-0.018,-0.018,0.611,0.551,0.441969856,0.6878029066,0.6714534871,0.7723538392,0.77065635,0.7716736814,0.6899681947,0.6255663328,0.7710884168,0.6533592915,0.6529407271,0.7607828604,0.4782356214,0.7880271942,0.5588706089,0.3635593581,0.5081123772
GLOVE+W2V,"[1,8]",-0.018,-0.018,0.611,0.551,0.4419655109,0.6875891828,0.6713097017,0.7722702169,0.7705220442,0.7715871328,0.6898587959,0.6254594732,0.7709657618,0.6532654694,0.6530142321,0.7607828604,0.4782798654,0.7880271942,0.5589991817,0.3635485575,0.5080297831
GLOVE+FT,"[1,1]",0.000,0.000,0.674,0.618,0.5030989187,0.7263907201,0.7616210108,0.8354281799,0.8385591772,0.836545846,0.7856690619,0.734271811,0.8338404514,0.7358707743,0.7632522835,0.8626941065,0.4473030183,0.8518972323,0.6249379037,0.4260306796,0.5862602879
GLOVE+FT,"[2,1]",0.000,0.000,0.674,0.618,0.5030969388,0.7263907201,0.7616210108,0.8354285565,0.8385591772,0.8365467694,0.7856690619,0.734271811,0.8338404514,0.7358707743,0.7632522835,0.8626941065,0.4473030183,0.8518972323,0.6249379037,0.4260309224,0.5862639784
GLOVE+FT,"[1,2]",0.000,0.000,0.674,0.618,0.5030989187,0.7263907201,0.7616210108,0.8354281799,0.8385591772,0.836545846,0.7856690619,0.734271811,0.8338404514,0.7358707743,0.7632522835,0.8626941065,0.4473030183,0.8518972323,0.6249379037,0.4260307487,0.5862602879
GLOVE+FT,"[8,1]",0.000,0.000,0.674,0.618,0.5030834822,0.7263907201,0.7616190078,0.8354408782,0.8385578568,0.8365607631,0.7856293673,0.7341784495,0.8338404514,0.7358707743,0.7630910225,0.8626941065,0.4473030183,0.8518972323,0.6249379037,0.4260100756,0.5862533114
GLOVE+FT,"[1,8]",0.000,0.000,0.674,0.618,0.5030989187,0.7263907201,0.7616210108,0.8354281799,0.8385591772,0.836545846,0.7856690619,0.734271811,0.8338404514,0.7358707743,0.7632522835,0.8626941065,0.4473030183,0.8518972323,0.6249379037,0.4260307487,0.5862602879
GLOVE+jointcHYB,"[1,1]",0.002,0.004,0.653,0.601,0.5410459261,0.6245246595,0.6922459462,0.7771810448,0.7832933814,0.7795642429,0.7560277255,0.6680739644,0.8252997881,0.7729405436,0.6677002381,0.8632623442,0.3044028786,0.8772672126,0.8161147868,0.5578900698,0.3726763229
