Embeddings,Weigths,SimLex 999,MTurk 287,MTurk 771,MEN DEV,MEN TEST,MEN ALL,WS353 all,WS353 relatedness,WS353 similarity,WS353 set1,WS353 set2,RG65,VERB 143,MC 30,YP 130,SimVerb 3500,RW
GLOVE+W2V,"[1,1]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.982792527
GLOVE+W2V,"[2,1]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.982792527
GLOVE+W2V,"[1,2]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.982792527
GLOVE+FT,"[1,1]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9847590954
GLOVE+FT,"[2,1]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9847590954
GLOVE+FT,"[1,2]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9847590954
GLOVE+jointcHYB,"[1,1]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9975417896
GLOVE+jointcHYB,"[2,1]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9975417896
GLOVE+jointcHYB,"[1,2]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9975417896
GLOVE+UKB,"[1,1]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9960668633
GLOVE+UKB,"[2,1]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9960668633
GLOVE+UKB,"[1,2]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9960668633
GLOVE+LEXVEC,"[1,1]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9877089479
GLOVE+LEXVEC,"[2,1]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9877089479
GLOVE+LEXVEC,"[1,2]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9877089479
GLOVE+SKE,"[1,1]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9995083579
GLOVE+SKE,"[2,1]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9995083579
GLOVE+SKE,"[1,2]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9995083579
GLOVE+PDC,"[1,1]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9891838741
GLOVE+PDC,"[2,1]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9891838741
GLOVE+PDC,"[1,2]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9891838741
GLOVE+W2V,"[1,1]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.982792527
GLOVE+W2V,"[2,1]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.982792527
GLOVE+W2V,"[1,2]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.982792527
W2V+FT,"[1,1]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9813176008
W2V+FT,"[2,1]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9813176008
W2V+FT,"[1,2]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9813176008
W2V+jointcHYB,"[1,1]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.982300885
W2V+jointcHYB,"[2,1]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.982300885
W2V+jointcHYB,"[1,2]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.982300885
W2V+UKB,"[1,1]",1,0.9825783972,1,1,1,1,1,1,1,1,1,1,0.9652777778,1,1,1,0.9646017699
W2V+UKB,"[2,1]",1,0.9825783972,1,1,1,1,1,1,1,1,1,1,0.9652777778,1,1,1,0.9646017699
W2V+UKB,"[1,2]",1,0.9825783972,1,1,1,1,1,1,1,1,1,1,0.9652777778,1,1,1,0.9646017699
W2V+LEXVEC,"[1,1]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9783677483
W2V+LEXVEC,"[2,1]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9783677483
W2V+LEXVEC,"[1,2]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9783677483
W2V+SKE,"[1,1]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9995083579
W2V+SKE,"[2,1]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9995083579
W2V+SKE,"[1,2]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9995083579
W2V+PDC,"[1,1]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9587020649
W2V+PDC,"[2,1]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9587020649
W2V+PDC,"[1,2]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9587020649
GLOVE+FT,"[1,1]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9847590954
GLOVE+FT,"[2,1]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9847590954
GLOVE+FT,"[1,2]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9847590954
W2V+FT,"[1,1]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9813176008
W2V+FT,"[2,1]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9813176008
W2V+FT,"[1,2]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9813176008
FT+jointcHYB,"[1,1]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9975417896
FT+jointcHYB,"[2,1]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9975417896
FT+jointcHYB,"[1,2]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9975417896
FT+UKB,"[1,1]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9950835792
FT+UKB,"[2,1]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9950835792
