,,vs mejor embedding,,,,,,,,,,,,,,,,,,,,
Embeddings,Pesos,Media (Diferencia),Media Ponderada (Diferecia),Media,Media Ponderada,SimLex 999,MTurk 287,MTurk 771,MEN DEV,MEN TEST,MEN ALL,WS353 all,WS353 relatedness,WS353 similarity,WS353 set1,WS353 set2,RG65,VERB 143,MC 30,YP 130,SimVerb 3500,RW
GLOVE+W2V,"[1,1]",0.012,0.009,0.641,0.580,0.460,0.729,0.731,0.820,0.818,0.819,0.762,0.709,0.814,0.736,0.717,0.794,0.456,0.804,0.592,0.365,0.540
GLOVE+W2V,"[2,1]",0.013,0.009,0.642,0.580,0.461,0.731,0.738,0.826,0.825,0.826,0.775,0.724,0.822,0.754,0.725,0.784,0.444,0.806,0.596,0.359,0.540
GLOVE+W2V,"[1,2]",0.008,0.004,0.637,0.575,0.456,0.719,0.718,0.809,0.807,0.809,0.747,0.689,0.811,0.716,0.702,0.789,0.467,0.815,0.579,0.369,0.537
GLOVE+FT,"[1,1]",-0.011,-0.015,0.664,0.605,0.484,0.739,0.764,0.845,0.847,0.846,0.800,0.754,0.841,0.765,0.766,0.813,0.443,0.840,0.616,0.387,0.573
GLOVE+FT,"[2,1]",-0.022,-0.025,0.653,0.595,0.474,0.734,0.756,0.842,0.843,0.842,0.793,0.747,0.833,0.767,0.754,0.795,0.425,0.822,0.610,0.371,0.560
GLOVE+FT,"[1,2]",-0.004,-0.007,0.671,0.613,0.492,0.738,0.768,0.846,0.849,0.847,0.799,0.753,0.842,0.755,0.772,0.843,0.453,0.837,0.622,0.402,0.583
GLOVE+jointcHYB,"[1,1]",0.036,0.023,0.690,0.629,0.538,0.717,0.777,0.845,0.852,0.848,0.807,0.745,0.850,0.804,0.746,0.867,0.417,0.861,0.782,0.492,0.483
GLOVE+jointcHYB,"[2,1]",0.024,0.010,0.678,0.616,0.514,0.724,0.775,0.845,0.849,0.846,0.804,0.747,0.845,0.801,0.742,0.835,0.425,0.854,0.730,0.444,0.511
GLOVE+jointcHYB,"[1,2]",0.034,0.026,0.688,0.632,0.552,0.699,0.763,0.837,0.845,0.840,0.802,0.733,0.852,0.803,0.734,0.882,0.380,0.865,0.809,0.530,0.446
