,,vs media no L2,,,,,,,,,,,,,,,,,,,,
Embeddings,Pesos,Media (Diferencia),Media Ponderada (Diferecia),Media,Media Ponderada,SimLex 999,MTurk 287,MTurk 771,MEN DEV,MEN TEST,MEN ALL,WS353 all,WS353 relatedness,WS353 similarity,WS353 set1,WS353 set2,RG65,VERB 143,MC 30,YP 130,SimVerb 3500,RW
GLOVE+W2V,"[1,1]",0.016,0.012,0.628,0.565,0.452,0.716,0.711,0.808,0.803,0.806,0.744,0.692,0.807,0.727,0.693,0.793,0.446,0.806,0.560,0.347,0.530
GLOVE+W2V,"[2,1]",0.019,0.016,0.631,0.569,0.453,0.727,0.728,0.821,0.820,0.821,0.765,0.712,0.820,0.754,0.714,0.772,0.421,0.802,0.581,0.339,0.532
GLOVE+W2V,"[1,2]",0.009,0.005,0.621,0.558,0.449,0.702,0.688,0.789,0.784,0.787,0.712,0.655,0.789,0.680,0.671,0.778,0.466,0.818,0.553,0.355,0.523
GLOVE+FT,"[1,1]",-0.031,-0.032,0.643,0.588,0.467,0.705,0.739,0.833,0.832,0.833,0.774,0.723,0.820,0.745,0.737,0.786,0.402,0.836,0.610,0.374,0.551
GLOVE+FT,"[2,1]",-0.044,-0.045,0.631,0.576,0.455,0.712,0.735,0.831,0.830,0.831,0.771,0.719,0.816,0.753,0.724,0.746,0.391,0.811,0.603,0.350,0.535
GLOVE+FT,"[1,2]",-0.016,-0.015,0.659,0.605,0.484,0.708,0.748,0.835,0.835,0.835,0.781,0.731,0.828,0.736,0.758,0.826,0.419,0.849,0.623,0.403,0.573
GLOVE+jointcHYB,"[1,1]",0.021,0.014,0.674,0.615,0.516,0.719,0.763,0.828,0.831,0.829,0.776,0.705,0.833,0.770,0.716,0.853,0.419,0.831,0.750,0.471,0.492
GLOVE+jointcHYB,"[2,1]",-0.002,-0.008,0.652,0.593,0.481,0.727,0.757,0.833,0.832,0.833,0.779,0.726,0.825,0.766,0.731,0.799,0.423,0.790,0.661,0.390,0.529
GLOVE+jointcHYB,"[1,2]",0.017,0.014,0.670,0.615,0.536,0.692,0.737,0.806,0.813,0.809,0.766,0.683,0.832,0.769,0.694,0.866,0.351,0.856,0.798,0.533,0.423
GLOVE+UKB,"[1,1]",0.042,0.023,0.675,0.619,0.523,0.694,0.736,0.832,0.833,0.833,0.793,0.733,0.832,0.803,0.706,0.834,0.455,0.823,0.736,0.464,0.528
GLOVE+UKB,"[2,1]",0.024,-0.003,0.656,0.594,0.482,0.727,0.738,0.834,0.835,0.834,0.789,0.737,0.826,0.789,0.720,0.791,0.462,0.808,0.666,0.387,0.537
GLOVE+UKB,"[1,2]",0.028,0.022,0.660,0.618,0.538,0.616,0.706,0.803,0.806,0.804,0.763,0.688,0.817,0.791,0.658,0.846,0.357,0.850,0.775,0.526,0.483
GLOVE+LEXVEC,"[1,1]",-0.010,-0.008,0.618,0.563,0.456,0.706,0.729,0.814,0.808,0.812,0.737,0.674,0.782,0.736,0.694,0.732,0.385,0.754,0.622,0.332,0.536
GLOVE+LEXVEC,"[2,1]",-0.004,-0.007,0.624,0.565,0.451,0.712,0.732,0.821,0.817,0.820,0.755,0.701,0.796,0.754,0.708,0.740,0.381,0.788,0.621,0.331,0.533
GLOVE+LEXVEC,"[1,2]",-0.008,-0.006,0.621,0.566,0.466,0.709,0.732,0.809,0.803,0.807,0.728,0.661,0.787,0.722,0.693,0.733,0.410,0.756,0.610,0.339,0.538
GLOVE+PDC,"[1,1]",0.008,0.032,0.606,0.557,0.457,0.677,0.723,0.812,0.813,0.813,0.777,0.721,0.810,0.773,0.713,0.788,0.335,0.774,0.476,0.328,0.517
GLOVE+PDC,"[2,1]",0.017,0.041,0.615,0.566,0.458,0.695,0.731,0.823,0.824,0.824,0.776,0.725,0.813,0.770,0.720,0.767,0.359,0.769,0.522,0.336,0.526
GLOVE+PDC,"[1,2]",0.002,0.016,0.599,0.542,0.446,0.666,0.707,0.792,0.790,0.792,0.776,0.716,0.807,0.778,0.696,0.804,0.321,0.806,0.463,0.314,0.499
