,,vs mejor embedding,,,,,,,,,,,,,,,,,,,,
Embeddings,Pesos,Media (Diferencia),Media Ponderada (Diferecia),Media,Media Ponderada,SimLex 999,MTurk 287,MTurk 771,MEN DEV,MEN TEST,MEN ALL,WS353 all,WS353 relatedness,WS353 similarity,WS353 set1,WS353 set2,RG65,VERB 143,MC 30,YP 130,SimVerb 3500,RW
GLOVE+W2V,"[1,1]",-0.017,-0.018,0.612,0.553,0.442,0.688,0.671,0.772,0.771,0.772,0.690,0.625,0.771,0.653,0.653,0.761,0.479,0.788,0.560,0.363,0.517
GLOVE+W2V,"[2,1]",-0.017,-0.018,0.612,0.553,0.442,0.688,0.671,0.772,0.771,0.772,0.690,0.625,0.771,0.653,0.652,0.761,0.479,0.788,0.559,0.363,0.517
GLOVE+W2V,"[1,2]",-0.017,-0.018,0.612,0.553,0.442,0.688,0.671,0.772,0.771,0.772,0.690,0.625,0.771,0.653,0.653,0.761,0.479,0.788,0.560,0.364,0.517
GLOVE+FT,"[1,1]",0.000,0.000,0.675,0.620,0.503,0.726,0.762,0.835,0.839,0.837,0.786,0.734,0.834,0.736,0.763,0.863,0.447,0.852,0.625,0.426,0.595
GLOVE+FT,"[2,1]",0.000,0.000,0.675,0.620,0.503,0.726,0.762,0.835,0.839,0.837,0.785,0.734,0.834,0.736,0.763,0.862,0.448,0.852,0.625,0.426,0.595
GLOVE+FT,"[1,2]",0.000,0.000,0.675,0.620,0.503,0.726,0.762,0.835,0.839,0.837,0.786,0.734,0.834,0.736,0.763,0.863,0.447,0.852,0.625,0.426,0.595
GLOVE+jointcHYB,"[1,1]",-0.001,-0.005,0.653,0.601,0.541,0.625,0.692,0.777,0.783,0.780,0.756,0.668,0.825,0.773,0.668,0.863,0.305,0.877,0.816,0.558,0.373
GLOVE+jointcHYB,"[2,1]",-0.001,-0.005,0.653,0.601,0.541,0.625,0.692,0.777,0.783,0.780,0.756,0.668,0.825,0.773,0.668,0.863,0.305,0.877,0.816,0.558,0.373
GLOVE+jointcHYB,"[1,2]",-0.001,-0.005,0.653,0.601,0.541,0.625,0.692,0.777,0.783,0.780,0.756,0.668,0.825,0.773,0.668,0.863,0.305,0.877,0.816,0.558,0.373
GLOVE+UKB,"[1,1]",0.002,-0.013,0.632,0.597,0.525,0.556,0.678,0.755,0.756,0.756,0.712,0.620,0.779,0.764,0.588,0.823,0.276,0.873,0.767,0.545,0.442
GLOVE+UKB,"[2,1]",0.002,-0.013,0.632,0.597,0.525,0.556,0.678,0.755,0.756,0.756,0.712,0.620,0.779,0.764,0.589,0.823,0.276,0.874,0.767,0.545,0.442
GLOVE+UKB,"[1,2]",0.002,-0.013,0.632,0.597,0.525,0.556,0.678,0.755,0.756,0.756,0.712,0.620,0.779,0.764,0.589,0.823,0.276,0.873,0.767,0.545,0.442
GLOVE+LEXVEC,"[1,1]",-0.002,-0.001,0.628,0.572,0.477,0.718,0.738,0.807,0.805,0.807,0.737,0.674,0.805,0.716,0.703,0.744,0.439,0.784,0.579,0.352,0.538
GLOVE+LEXVEC,"[2,1]",-0.002,-0.001,0.628,0.572,0.477,0.717,0.738,0.807,0.805,0.807,0.737,0.674,0.805,0.716,0.704,0.743,0.439,0.779,0.580,0.352,0.538
GLOVE+LEXVEC,"[1,2]",-0.002,-0.001,0.628,0.572,0.477,0.717,0.738,0.807,0.805,0.807,0.737,0.674,0.805,0.715,0.703,0.744,0.440,0.784,0.579,0.352,0.538
GLOVE+PDC,"[1,1]",-0.031,-0.045,0.598,0.526,0.427,0.672,0.688,0.774,0.768,0.773,0.765,0.700,0.796,0.766,0.671,0.790,0.343,0.828,0.511,0.296,0.482
GLOVE+PDC,"[2,1]",-0.031,-0.045,0.598,0.526,0.427,0.672,0.688,0.774,0.768,0.773,0.765,0.701,0.796,0.767,0.672,0.791,0.343,0.828,0.510,0.296,0.482
GLOVE+PDC,"[1,2]",-0.031,-0.045,0.598,0.526,0.427,0.672,0.688,0.774,0.768,0.773,0.765,0.700,0.796,0.766,0.671,0.790,0.343,0.828,0.511,0.296,0.482
W2V+FT,"[1,1]",-0.023,-0.022,0.652,0.598,0.468,0.698,0.721,0.811,0.815,0.813,0.772,0.715,0.808,0.739,0.733,0.818,0.486,0.839,0.576,0.410,0.577
W2V+FT,"[2,1]",-0.042,-0.044,0.633,0.576,0.448,0.684,0.692,0.790,0.793,0.791,0.741,0.681,0.786,0.716,0.692,0.790,0.489,0.836,0.557,0.388,0.553
W2V+FT,"[1,2]",-0.008,-0.007,0.667,0.613,0.488,0.710,0.744,0.827,0.831,0.829,0.787,0.735,0.825,0.742,0.758,0.844,0.477,0.848,0.596,0.423,0.591
W2V+jointcHYB,"[1,1]",0.005,0.002,0.659,0.608,0.538,0.629,0.702,0.783,0.788,0.784,0.761,0.680,0.825,0.771,0.676,0.871,0.314,0.874,0.816,0.554,0.400
W2V+jointcHYB,"[2,1]",0.012,0.007,0.666,0.613,0.534,0.651,0.714,0.790,0.794,0.791,0.761,0.687,0.821,0.756,0.688,0.872,0.350,0.876,0.794,0.540,0.439
W2V+jointcHYB,"[1,2]",0.001,-0.002,0.655,0.604,0.539,0.622,0.696,0.778,0.784,0.781,0.757,0.671,0.824,0.772,0.669,0.865,0.305,0.877,0.818,0.556,0.385
W2V+UKB,"[1,1]",0.026,0.006,0.656,0.616,0.534,0.634,0.704,0.781,0.780,0.781,0.734,0.644,0.787,0.769,0.640,0.830,0.332,0.878,0.753,0.532,0.499
W2V+UKB,"[2,1]",0.021,-0.007,0.651,0.603,0.512,0.680,0.707,0.785,0.781,0.784,0.723,0.637,0.785,0.721,0.653,0.797,0.420,0.853,0.687,0.478,0.522
W2V+UKB,"[1,2]",0.012,-0.003,0.642,0.607,0.531,0.583,0.688,0.766,0.766,0.766,0.719,0.625,0.782,0.769,0.605,0.831,0.271,0.889,0.767,0.544,0.470
W2V+LEXVEC,"[1,1]",-0.015,-0.017,0.615,0.556,0.453,0.699,0.675,0.777,0.780,0.778,0.687,0.612,0.777,0.664,0.632,0.782,0.456,0.792,0.556,0.358,0.527
W2V+LEXVEC,"[2,1]",-0.017,-0.019,0.613,0.554,0.446,0.699,0.670,0.773,0.774,0.773,0.683,0.614,0.769,0.652,0.639,0.767,0.477,0.791,0.558,0.361,0.522
W2V+LEXVEC,"[1,2]",-0.010,-0.012,0.620,0.561,0.464,0.705,0.692,0.787,0.791,0.788,0.698,0.621,0.785,0.685,0.635,0.791,0.449,0.788,0.558,0.354,0.532
W2V+PDC,"[1,1]",-0.016,-0.021,0.600,0.534,0.424,0.668,0.687,0.778,0.772,0.776,0.764,0.703,0.798,0.755,0.687,0.775,0.392,0.820,0.490,0.310,0.496
W2V+PDC,"[2,1]",-0.010,-0.012,0.606,0.543,0.427,0.665,0.687,0.781,0.778,0.780,0.758,0.697,0.798,0.735,0.697,0.770,0.434,0.806,0.498,0.332,0.505
W2V+PDC,"[1,2]",-0.018,-0.026,0.598,0.529,0.424,0.668,0.687,0.776,0.769,0.774,0.767,0.705,0.798,0.766,0.680,0.782,0.368,0.821,0.496,0.301,0.492
FT+jointcHYB,"[1,1]",-0.010,-0.006,0.665,0.614,0.547,0.635,0.709,0.792,0.799,0.794,0.769,0.677,0.839,0.781,0.681,0.883,0.306,0.885,0.814,0.551,0.420
FT+jointcHYB,"[2,1]",0.004,0.010,0.679,0.630,0.550,0.670,0.736,0.810,0.819,0.813,0.782,0.698,0.843,0.780,0.711,0.889,0.341,0.887,0.782,0.534,0.489
FT+jointcHYB,"[1,2]",-0.019,-0.015,0.656,0.605,0.543,0.622,0.696,0.781,0.787,0.783,0.762,0.671,0.832,0.779,0.670,0.873,0.294,0.879,0.818,0.555,0.391
FT+UKB,"[1,1]",0.014,0.020,0.689,0.640,0.540,0.656,0.750,0.813,0.810,0.813,0.767,0.697,0.816,0.751,0.729,0.874,0.463,0.886,0.752,0.534,0.544
FT+UKB,"[2,1]",0.019,0.018,0.694,0.638,0.529,0.701,0.773,0.833,0.832,0.833,0.782,0.728,0.828,0.737,0.763,0.874,0.511,0.863,0.705,0.485,0.574
FT+UKB,"[1,2]",-0.018,0.000,0.657,0.620,0.530,0.596,0.711,0.781,0.778,0.781,0.734,0.645,0.800,0.752,0.662,0.848,0.336,0.866,0.776,0.548,0.497
FT+LEXVEC,"[1,1]",-0.001,-0.003,0.674,0.617,0.503,0.731,0.756,0.831,0.840,0.834,0.772,0.712,0.813,0.714,0.769,0.856,0.464,0.838,0.642,0.418,0.598
FT+LEXVEC,"[2,1]",0.003,0.000,0.678,0.620,0.503,0.730,0.760,0.834,0.841,0.836,0.780,0.724,0.823,0.724,0.769,0.868,0.462,0.859,0.634,0.425,0.598
FT+LEXVEC,"[1,2]",-0.012,-0.013,0.663,0.607,0.496,0.734,0.746,0.824,0.832,0.826,0.755,0.688,0.797,0.701,0.756,0.837,0.468,0.802,0.634,0.401,0.592
FT+PDC,"[1,1]",-0.070,-0.074,0.605,0.546,0.437,0.693,0.705,0.794,0.784,0.791,0.776,0.707,0.805,0.777,0.691,0.790,0.316,0.830,0.485,0.317,0.519
FT+PDC,"[2,1]",-0.043,-0.043,0.632,0.577,0.464,0.707,0.727,0.815,0.809,0.813,0.785,0.722,0.816,0.775,0.713,0.814,0.351,0.855,0.518,0.359,0.555
FT+PDC,"[1,2]",-0.079,-0.089,0.596,0.531,0.426,0.683,0.694,0.781,0.771,0.778,0.770,0.701,0.800,0.777,0.676,0.787,0.318,0.827,0.479,0.299,0.496
jointcHYB+UKB,"[1,1]",-0.015,-0.015,0.639,0.595,0.536,0.594,0.687,0.765,0.768,0.767,0.751,0.653,0.818,0.765,0.658,0.843,0.297,0.862,0.775,0.542,0.381
jointcHYB+UKB,"[2,1]",-0.004,-0.008,0.650,0.602,0.540,0.609,0.691,0.774,0.779,0.776,0.757,0.664,0.826,0.770,0.669,0.865,0.309,0.871,0.797,0.551,0.379
jointcHYB+UKB,"[1,2]",-0.030,-0.025,0.624,0.585,0.527,0.564,0.681,0.751,0.753,0.752,0.739,0.636,0.805,0.761,0.636,0.811,0.273,0.862,0.742,0.531,0.383
jointcHYB+LEXVEC,"[1,1]",-0.001,-0.002,0.653,0.604,0.538,0.635,0.695,0.780,0.787,0.783,0.756,0.672,0.825,0.771,0.669,0.861,0.303,0.852,0.817,0.556,0.388
jointcHYB+LEXVEC,"[2,1]",-0.001,-0.003,0.653,0.603,0.539,0.628,0.693,0.778,0.785,0.780,0.756,0.669,0.826,0.772,0.668,0.859,0.303,0.864,0.819,0.557,0.384
jointcHYB+LEXVEC,"[1,2]",0.003,0.003,0.657,0.609,0.538,0.647,0.704,0.787,0.795,0.790,0.757,0.677,0.826,0.771,0.675,0.857,0.313,0.847,0.812,0.553,0.404
jointcHYB+PDC,"[1,1]",0.005,-0.003,0.659,0.603,0.518,0.641,0.720,0.792,0.796,0.793,0.787,0.717,0.833,0.786,0.713,0.856,0.379,0.870,0.730,0.499,0.451
jointcHYB+PDC,"[2,1]",0.004,0.001,0.658,0.607,0.536,0.625,0.710,0.788,0.795,0.790,0.774,0.698,0.832,0.785,0.695,0.867,0.335,0.860,0.796,0.541,0.403
jointcHYB+PDC,"[1,2]",-0.016,-0.032,0.638,0.574,0.477,0.652,0.717,0.787,0.786,0.787,0.786,0.723,0.825,0.782,0.710,0.825,0.399,0.861,0.616,0.408,0.488
UKB+LEXVEC,"[1,1]",0.013,0.002,0.643,0.612,0.530,0.588,0.701,0.777,0.776,0.777,0.728,0.645,0.781,0.784,0.614,0.817,0.285,0.880,0.749,0.544,0.478
UKB+LEXVEC,"[2,1]",0.006,-0.006,0.636,0.604,0.526,0.561,0.686,0.763,0.762,0.763,0.715,0.627,0.774,0.772,0.593,0.820,0.277,0.878,0.758,0.545,0.464
UKB+LEXVEC,"[1,2]",0.032,0.015,0.662,0.625,0.537,0.644,0.734,0.804,0.803,0.804,0.757,0.682,0.797,0.788,0.668,0.823,0.323,0.881,0.738,0.530,0.507
UKB+PDC,"[1,1]",0.001,-0.042,0.631,0.568,0.469,0.684,0.705,0.793,0.776,0.788,0.767,0.696,0.784,0.791,0.657,0.804,0.352,0.865,0.621,0.393,0.489
UKB+PDC,"[2,1]",0.015,-0.011,0.645,0.599,0.504,0.650,0.711,0.795,0.775,0.789,0.762,0.683,0.785,0.791,0.651,0.836,0.291,0.884,0.706,0.489,0.478
UKB+PDC,"[1,2]",-0.022,-0.071,0.608,0.539,0.439,0.685,0.696,0.784,0.772,0.780,0.762,0.691,0.785,0.781,0.653,0.785,0.348,0.834,0.554,0.324,0.482
LEXVEC+PDC,"[1,1]",-0.030,-0.081,0.600,0.529,0.426,0.674,0.685,0.774,0.767,0.772,0.765,0.699,0.794,0.766,0.674,0.804,0.357,0.826,0.494,0.301,0.491
LEXVEC+PDC,"[2,1]",-0.025,-0.074,0.605,0.536,0.430,0.678,0.689,0.778,0.771,0.776,0.765,0.697,0.796,0.763,0.683,0.824,0.383,0.815,0.485,0.311,0.503
LEXVEC+PDC,"[1,2]",-0.032,-0.083,0.598,0.527,0.426,0.672,0.685,0.774,0.767,0.772,0.765,0.699,0.794,0.768,0.671,0.796,0.352,0.824,0.502,0.298,0.486
GLOVE+W2V+FT,[1 1 1],,,0.652,0.598,0.468,0.697,0.721,0.812,0.815,0.813,0.772,0.714,0.808,0.738,0.734,0.818,0.484,0.839,0.576,0.410,0.577
GLOVE+W2V+jointcHYB,[1 1 1],,,0.658,0.606,0.538,0.630,0.702,0.783,0.788,0.785,0.761,0.680,0.825,0.771,0.676,0.871,0.314,0.874,0.816,0.554,0.395
GLOVE+W2V+UKB,[1 1 1],,,0.655,0.615,0.534,0.632,0.704,0.783,0.782,0.782,0.734,0.650,0.784,0.770,0.639,0.830,0.332,0.878,0.754,0.532,0.495
GLOVE+W2V+LEXVEC,[1 1 1],,,0.614,0.555,0.453,0.698,0.675,0.777,0.780,0.778,0.689,0.616,0.776,0.664,0.632,0.782,0.455,0.792,0.556,0.358,0.523
GLOVE+W2V+PDC,[1 1 1],,,0.599,0.532,0.424,0.667,0.687,0.778,0.772,0.776,0.764,0.703,0.798,0.755,0.687,0.775,0.389,0.820,0.490,0.310,0.487
GLOVE+FT+jointcHYB,[1 1 1],,,0.664,0.613,0.547,0.635,0.709,0.792,0.799,0.794,0.769,0.677,0.838,0.781,0.680,0.883,0.307,0.885,0.814,0.551,0.415
GLOVE+FT+UKB,[1 1 1],,,0.688,0.638,0.540,0.659,0.750,0.813,0.810,0.813,0.766,0.696,0.816,0.750,0.729,0.874,0.459,0.886,0.752,0.534,0.534
GLOVE+FT+LEXVEC,[1 1 1],,,0.674,0.617,0.502,0.732,0.756,0.831,0.840,0.834,0.772,0.712,0.813,0.714,0.769,0.856,0.464,0.838,0.643,0.418,0.598
GLOVE+FT+PDC,[1 1 1],,,0.605,0.545,0.437,0.693,0.705,0.794,0.784,0.791,0.776,0.706,0.805,0.777,0.691,0.790,0.316,0.830,0.485,0.317,0.515
GLOVE+jointcHYB+UKB,[1 1 1],,,0.641,0.595,0.536,0.596,0.687,0.765,0.768,0.767,0.750,0.652,0.818,0.763,0.660,0.843,0.304,0.862,0.775,0.542,0.394
GLOVE+jointcHYB+LEXVEC,[1 1 1],,,0.652,0.603,0.538,0.635,0.695,0.780,0.787,0.783,0.756,0.672,0.825,0.771,0.669,0.861,0.304,0.852,0.817,0.556,0.379
GLOVE+jointcHYB+PDC,[1 1 1],,,0.659,0.603,0.518,0.641,0.720,0.791,0.796,0.793,0.787,0.717,0.833,0.786,0.713,0.856,0.379,0.870,0.730,0.499,0.455
GLOVE+UKB+LEXVEC,[1 1 1],,,0.643,0.609,0.530,0.587,0.700,0.777,0.776,0.777,0.730,0.647,0.782,0.781,0.618,0.817,0.291,0.880,0.750,0.544,0.464
GLOVE+UKB+PDC,[1 1 1],,,0.632,0.569,0.469,0.685,0.705,0.793,0.776,0.788,0.767,0.697,0.785,0.790,0.658,0.804,0.364,0.865,0.621,0.393,0.496
GLOVE+LEXVEC+PDC,[1 1 1],,,0.599,0.528,0.426,0.674,0.685,0.774,0.767,0.772,0.765,0.699,0.794,0.766,0.674,0.804,0.357,0.826,0.493,0.301,0.489
W2V+FT+jointcHYB,[1 1 1],,,0.670,0.616,0.542,0.639,0.714,0.793,0.800,0.795,0.775,0.692,0.835,0.788,0.694,0.881,0.326,0.897,0.813,0.548,0.434
W2V+FT+UKB,[1 1 1],,,0.679,0.632,0.528,0.650,0.738,0.811,0.809,0.810,0.769,0.700,0.802,0.756,0.722,0.839,0.466,0.878,0.722,0.518,0.544
W2V+FT+LEXVEC,[1 1 1],,,0.655,0.598,0.472,0.708,0.718,0.811,0.820,0.814,0.767,0.706,0.799,0.731,0.733,0.826,0.483,0.855,0.580,0.404,0.580
W2V+FT+PDC,[1 1 1],,,0.609,0.550,0.431,0.685,0.702,0.794,0.785,0.791,0.781,0.719,0.803,0.777,0.706,0.787,0.364,0.830,0.479,0.329,0.522
W2V+jointcHYB+UKB,[1 1 1],,,0.647,0.600,0.535,0.601,0.695,0.772,0.774,0.773,0.752,0.656,0.815,0.764,0.668,0.850,0.308,0.874,0.772,0.541,0.413
W2V+jointcHYB+LEXVEC,[1 1 1],,,0.660,0.608,0.535,0.642,0.703,0.784,0.791,0.787,0.761,0.682,0.827,0.771,0.678,0.871,0.317,0.868,0.821,0.552,0.404
W2V+jointcHYB+PDC,[1 1 1],,,0.659,0.604,0.511,0.645,0.723,0.794,0.798,0.795,0.791,0.725,0.834,0.783,0.721,0.843,0.394,0.870,0.710,0.496,0.466
W2V+UKB+LEXVEC,[1 1 1],,,0.655,0.617,0.535,0.641,0.715,0.790,0.786,0.789,0.736,0.648,0.784,0.771,0.639,0.824,0.324,0.872,0.743,0.526,0.503
W2V+UKB+PDC,[1 1 1],,,0.631,0.570,0.466,0.675,0.704,0.793,0.777,0.788,0.764,0.691,0.785,0.779,0.666,0.791,0.377,0.871,0.608,0.395,0.500
W2V+LEXVEC+PDC,[1 1 1],,,0.602,0.534,0.424,0.668,0.685,0.778,0.772,0.776,0.762,0.700,0.794,0.756,0.683,0.798,0.410,0.812,0.476,0.313,0.497
FT+jointcHYB+UKB,[1 1 1],,,0.654,0.608,0.539,0.602,0.705,0.782,0.786,0.784,0.764,0.666,0.833,0.772,0.682,0.863,0.296,0.878,0.787,0.540,0.434
FT+jointcHYB+LEXVEC,[1 1 1],,,0.666,0.615,0.544,0.644,0.711,0.792,0.800,0.796,0.770,0.682,0.840,0.782,0.685,0.883,0.308,0.875,0.817,0.550,0.426
FT+jointcHYB+PDC,[1 1 1],,,0.660,0.606,0.520,0.643,0.727,0.797,0.803,0.799,0.785,0.712,0.836,0.789,0.709,0.855,0.366,0.878,0.718,0.492,0.476
FT+UKB+LEXVEC,[1 1 1],,,0.685,0.641,0.537,0.662,0.753,0.818,0.818,0.819,0.772,0.706,0.806,0.754,0.738,0.853,0.475,0.855,0.737,0.528,0.550
FT+UKB+PDC,[1 1 1],,,0.639,0.578,0.472,0.708,0.723,0.803,0.785,0.798,0.773,0.705,0.794,0.785,0.676,0.818,0.346,0.875,0.598,0.393,0.521
FT+LEXVEC+PDC,[1 1 1],,,0.608,0.548,0.436,0.697,0.703,0.794,0.784,0.791,0.774,0.702,0.798,0.771,0.694,0.792,0.337,0.823,0.485,0.322,0.523
jointcHYB+UKB+LEXVEC,[1 1 1],,,0.641,0.594,0.533,0.600,0.691,0.769,0.774,0.771,0.755,0.662,0.822,0.769,0.661,0.842,0.298,0.858,0.773,0.541,0.389
jointcHYB+UKB+PDC,[1 1 1],,,0.657,0.600,0.516,0.640,0.723,0.793,0.791,0.793,0.780,0.701,0.822,0.785,0.691,0.864,0.344,0.897,0.725,0.495,0.447
jointcHYB+LEXVEC+PDC,[1 1 1],,,0.659,0.604,0.515,0.642,0.720,0.792,0.797,0.793,0.785,0.718,0.834,0.783,0.715,0.861,0.382,0.864,0.723,0.500,0.462
UKB+LEXVEC+PDC,[1 1 1],,,0.633,0.570,0.468,0.682,0.704,0.792,0.774,0.787,0.767,0.696,0.782,0.790,0.662,0.816,0.381,0.856,0.608,0.396,0.496
GLOVE+W2V+FT+jointcHYB,[1 1 1 1],,,0.669,0.615,0.542,0.640,0.714,0.793,0.800,0.796,0.775,0.692,0.835,0.788,0.694,0.881,0.325,0.897,0.813,0.548,0.429
GLOVE+W2V+FT+UKB,[1 1 1 1],,,0.679,0.632,0.528,0.651,0.738,0.811,0.809,0.811,0.771,0.703,0.802,0.758,0.725,0.840,0.464,0.878,0.723,0.518,0.543
GLOVE+W2V+FT+LEXVEC,[1 1 1 1],,,0.655,0.598,0.472,0.708,0.718,0.811,0.820,0.814,0.767,0.706,0.800,0.733,0.733,0.826,0.482,0.855,0.581,0.404,0.580
GLOVE+W2V+FT+PDC,[1 1 1 1],,,0.609,0.549,0.431,0.685,0.702,0.794,0.784,0.791,0.781,0.719,0.803,0.777,0.706,0.787,0.363,0.830,0.479,0.329,0.518
GLOVE+W2V+jointcHYB+UKB,[1 1 1 1],,,0.646,0.599,0.534,0.602,0.695,0.772,0.774,0.773,0.752,0.657,0.815,0.763,0.668,0.850,0.305,0.874,0.772,0.541,0.411
GLOVE+W2V+jointcHYB+LEXVEC,[1 1 1 1],,,0.659,0.607,0.535,0.642,0.703,0.785,0.791,0.787,0.761,0.682,0.826,0.770,0.678,0.871,0.316,0.863,0.821,0.552,0.398
GLOVE+W2V+jointcHYB+PDC,[1 1 1 1],,,0.658,0.604,0.511,0.645,0.723,0.794,0.798,0.796,0.791,0.725,0.834,0.784,0.721,0.843,0.394,0.870,0.710,0.496,0.465
GLOVE+W2V+UKB+LEXVEC,[1 1 1 1],,,0.655,0.617,0.535,0.646,0.714,0.791,0.788,0.790,0.738,0.656,0.781,0.773,0.641,0.824,0.320,0.872,0.743,0.526,0.501
GLOVE+W2V+UKB+PDC,[1 1 1 1],,,0.632,0.571,0.466,0.679,0.704,0.793,0.777,0.788,0.766,0.694,0.785,0.780,0.669,0.792,0.381,0.875,0.608,0.395,0.503
GLOVE+W2V+LEXVEC+PDC,[1 1 1 1],,,0.601,0.534,0.424,0.669,0.685,0.778,0.772,0.776,0.762,0.701,0.794,0.756,0.683,0.798,0.408,0.812,0.476,0.313,0.493
GLOVE+FT+jointcHYB+UKB,[1 1 1 1],,,0.654,0.606,0.539,0.602,0.705,0.782,0.786,0.784,0.764,0.666,0.833,0.772,0.682,0.863,0.307,0.878,0.787,0.540,0.426
GLOVE+FT+jointcHYB+LEXVEC,[1 1 1 1],,,0.665,0.614,0.544,0.644,0.712,0.792,0.800,0.796,0.770,0.682,0.839,0.782,0.685,0.883,0.308,0.875,0.818,0.550,0.420
