Embedding,Preprocessing,Differencia (Media),Differencia (Media ponderada),Media,Media Ponderada,SimLex999,MTurk-287,MTurk-771,MEN_DEV,MEN_TEST,MEN_ALL,WS353_all,WS353_relatedness,WS353_similarity,WS353_set1,WS353_set2,RG65,VERB-143,MC-30,YP-130,SimVerb-3500,RW
Word2Vec,Similaridad coseno,0.000,0.000,0.616,0.555,0.442,0.684,0.671,0.771,0.770,0.771,0.700,0.635,0.772,0.665,0.658,0.761,0.497,0.788,0.559,0.364,0.534
Word2Vec,Producto vectorial,-0.027,-0.028,0.589,0.528,0.433,0.667,0.633,0.736,0.737,0.736,0.674,0.601,0.747,0.618,0.651,0.726,0.479,0.765,0.533,0.352,0.480
Word2Vec,L1 por características,0.000,0.000,0.616,0.556,0.444,0.688,0.673,0.771,0.770,0.771,0.700,0.637,0.774,0.670,0.654,0.756,0.498,0.796,0.549,0.364,0.532
Word2Vec,L2 por características,0.000,0.000,0.616,0.556,0.444,0.689,0.673,0.771,0.770,0.771,0.700,0.638,0.773,0.669,0.655,0.755,0.500,0.796,0.550,0.364,0.533
Word2Vec,Centrado de media,-0.001,0.001,0.615,0.557,0.444,0.683,0.677,0.778,0.776,0.778,0.691,0.626,0.768,0.672,0.635,0.766,0.485,0.787,0.554,0.361,0.537
Word2Vec,Centrado de vectores,-0.001,0.000,0.614,0.555,0.442,0.683,0.670,0.771,0.769,0.770,0.698,0.633,0.769,0.663,0.656,0.754,0.501,0.779,0.561,0.364,0.535
Word2Vec,PPA,0.002,0.006,0.618,0.562,0.455,0.665,0.682,0.783,0.779,0.782,0.677,0.602,0.761,0.661,0.612,0.788,0.482,0.811,0.544,0.371,0.535
Word2Vec,L2  por vectores +  Centrado de Media,0.001,0.003,0.617,0.558,0.446,0.687,0.679,0.780,0.779,0.780,0.692,0.626,0.771,0.675,0.632,0.772,0.486,0.790,0.553,0.361,0.538
Word2Vec,L2 vectores + PPA,-0.003,0.004,0.612,0.560,0.455,0.660,0.674,0.780,0.777,0.780,0.682,0.608,0.760,0.658,0.624,0.776,0.486,0.781,0.540,0.371,0.532
Word2Vec,L2 por vectores + L2 por características,-0.001,0.000,0.615,0.555,0.444,0.688,0.673,0.771,0.770,0.771,0.701,0.637,0.773,0.670,0.655,0.756,0.498,0.791,0.547,0.364,0.532
Word2Vec,L2 por columnas + Centrado de Media,0.000,0.002,0.616,0.558,0.445,0.688,0.678,0.778,0.777,0.777,0.693,0.629,0.771,0.676,0.633,0.763,0.487,0.795,0.548,0.363,0.535
Word2Vec,L2 por características + PPA,0.002,0.007,0.618,0.562,0.456,0.673,0.684,0.782,0.777,0.780,0.679,0.604,0.762,0.666,0.612,0.786,0.490,0.796,0.541,0.373,0.536
Word2Vec,Centrado de Media + PPA,0.002,0.007,0.618,0.563,0.455,0.670,0.684,0.785,0.782,0.784,0.677,0.603,0.755,0.664,0.609,0.787,0.485,0.798,0.549,0.371,0.536
Word2Vec,Centrado de Media + L2 por características,0.001,0.002,0.617,0.558,0.446,0.684,0.678,0.778,0.777,0.778,0.692,0.626,0.769,0.674,0.633,0.767,0.490,0.796,0.553,0.363,0.537
Word2Vec,L2 por vectores + L2 por características + PPA,-0.001,0.005,0.615,0.561,0.456,0.666,0.678,0.781,0.777,0.780,0.685,0.612,0.763,0.667,0.621,0.777,0.488,0.790,0.537,0.372,0.532
Word2Vec,PPA + Centrado de media,0.002,0.007,0.618,0.563,0.455,0.670,0.684,0.785,0.782,0.784,0.677,0.603,0.755,0.664,0.609,0.787,0.485,0.798,0.549,0.371,0.536
Word2Vec,PPA + L2 por caracteristicas,0.002,0.006,0.618,0.562,0.454,0.664,0.683,0.782,0.779,0.782,0.679,0.602,0.763,0.663,0.613,0.790,0.483,0.808,0.549,0.371,0.536
Word2Vec,PPA + L2 pro vectores + L2 por caracteristicas,0.003,0.006,0.618,0.562,0.454,0.664,0.683,0.782,0.779,0.782,0.678,0.602,0.763,0.663,0.612,0.792,0.482,0.808,0.548,0.371,0.536
Word2Vec,Mean Center + L2 por vectores + L2 por caracteristicas,0.001,0.003,0.616,0.558,0.446,0.685,0.678,0.778,0.777,0.778,0.692,0.627,0.770,0.675,0.634,0.764,0.488,0.796,0.552,0.363,0.537
Word2Vec,L2 por características +L2 vectores + Centrado de Media,0.001,0.003,0.617,0.559,0.448,0.689,0.679,0.780,0.779,0.780,0.694,0.630,0.772,0.678,0.633,0.771,0.482,0.800,0.543,0.363,0.536
UKB,Similaridad coseno,0.000,0.000,0.630,0.610,0.525,0.644,0.679,0.755,0.756,0.756,0.720,0.627,0.785,0.773,0.601,0.823,0.153,0.873,0.768,0.545,0.443
UKB,Producto vectorial,-0.030,-0.020,0.599,0.590,0.514,0.603,0.639,0.741,0.744,0.742,0.693,0.610,0.741,0.741,0.572,0.822,0.089,0.827,0.709,0.519,0.436
UKB,L1 por características,0.000,0.000,0.630,0.610,0.523,0.660,0.675,0.754,0.762,0.757,0.715,0.624,0.791,0.764,0.603,0.812,0.155,0.869,0.781,0.546,0.441
UKB,L2 por características,0.001,0.000,0.631,0.611,0.523,0.659,0.675,0.754,0.762,0.757,0.715,0.623,0.790,0.764,0.602,0.814,0.155,0.869,0.781,0.546,0.441
UKB,Centrado de media,0.006,0.010,0.636,0.620,0.537,0.668,0.684,0.765,0.775,0.769,0.724,0.641,0.794,0.768,0.620,0.851,0.064,0.902,0.792,0.556,0.442
UKB,Centrado de vectores,-0.001,0.000,0.629,0.610,0.524,0.646,0.679,0.755,0.756,0.756,0.721,0.629,0.787,0.773,0.606,0.822,0.143,0.873,0.766,0.545,0.443
UKB,PPA,-0.022,-0.020,0.608,0.591,0.505,0.600,0.648,0.708,0.710,0.709,0.731,0.633,0.772,0.753,0.654,0.775,0.144,0.838,0.762,0.545,0.435
UKB,L2  por vectores +  Centrado de Media,0.000,0.009,0.630,0.619,0.537,0.663,0.682,0.765,0.774,0.768,0.721,0.640,0.786,0.764,0.618,0.851,0.042,0.887,0.784,0.556,0.442
