,,vs L2 + concatenación ,,,,,,,,,,,,,,,,,,,,
Embeddings,Método,Media (Diferencia),Media Ponderada (Diferecia),Media,Media Ponderada,SimLex 999,MTurk 287,MTurk 771,MEN DEV,MEN TEST,MEN ALL,WS353 all,WS353 relatedness,WS353 similarity,WS353 set1,WS353 set2,RG65,VERB 143,MC 30,YP 130,SimVerb 3500,RW
GLOVE + jointcHYB,DRA,-0.040,-0.036,0.651,0.596,0.492,0.712,0.761,0.838,0.839,0.838,0.807,0.763,0.827,0.808,0.750,0.812,0.322,0.825,0.674,0.391,0.529
GLOVE + jointcHYB,PCA,-0.046,-0.056,0.645,0.576,0.469,0.722,0.761,0.833,0.835,0.834,0.773,0.717,0.821,0.787,0.697,0.812,0.391,0.821,0.673,0.373,0.469
GLOVE + jointcHYB,tSVD,-0.039,-0.048,0.652,0.584,0.475,0.726,0.762,0.836,0.837,0.836,0.784,0.732,0.827,0.796,0.706,0.803,0.407,0.825,0.681,0.376,0.496
FT + jointcHYB,DRA,-0.007,-0.014,0.698,0.642,0.531,0.734,0.794,0.849,0.851,0.850,0.818,0.761,0.844,0.805,0.766,0.890,0.404,0.874,0.726,0.474,0.579
FT + jointcHYB,PCA,-0.022,-0.039,0.683,0.617,0.519,0.722,0.781,0.843,0.844,0.843,0.787,0.725,0.843,0.776,0.721,0.905,0.420,0.881,0.697,0.449,0.511
FT + jointcHYB,tSVD,-0.022,-0.036,0.683,0.620,0.512,0.723,0.783,0.841,0.844,0.842,0.793,0.731,0.839,0.780,0.734,0.894,0.422,0.865,0.701,0.447,0.531
W2V + jointcHYB,DRA,-0.036,-0.042,0.649,0.586,0.476,0.717,0.738,0.809,0.810,0.809,0.742,0.676,0.814,0.715,0.678,0.862,0.422,0.854,0.604,0.404,0.514
W2V + jointcHYB,PCA,-0.047,-0.063,0.638,0.565,0.462,0.702,0.724,0.797,0.795,0.796,0.722,0.650,0.809,0.720,0.644,0.860,0.436,0.847,0.617,0.385,0.466
W2V + jointcHYB,tSVD,-0.051,-0.063,0.634,0.565,0.457,0.709,0.722,0.794,0.789,0.792,0.721,0.648,0.805,0.705,0.656,0.832,0.452,0.827,0.596,0.382,0.480
LEXVEC + jointcHYB,DRA,-0.018,-0.022,0.673,0.615,0.522,0.745,0.778,0.835,0.836,0.835,0.806,0.759,0.835,0.792,0.756,0.847,0.375,0.851,0.682,0.441,0.521
LEXVEC + jointcHYB,PCA,-0.035,-0.041,0.656,0.596,0.511,0.718,0.766,0.827,0.828,0.827,0.777,0.717,0.832,0.772,0.709,0.853,0.366,0.847,0.653,0.426,0.475
LEXVEC + jointcHYB,tSVD,-0.033,-0.036,0.658,0.601,0.513,0.723,0.775,0.830,0.831,0.830,0.774,0.715,0.826,0.769,0.711,0.822,0.366,0.831,0.680,0.429,0.488
GLOVE + UKB,DRA,-0.054,-0.054,0.642,0.585,0.480,0.741,0.750,0.837,0.835,0.837,0.782,0.740,0.822,0.784,0.715,0.779,0.376,0.811,0.619,0.366,0.526
GLOVE + UKB,PCA,-0.080,-0.082,0.616,0.557,0.446,0.689,0.742,0.830,0.828,0.829,0.753,0.691,0.805,0.767,0.678,0.777,0.331,0.790,0.615,0.339,0.463
GLOVE + UKB,tSVD,-0.085,-0.080,0.611,0.559,0.458,0.680,0.739,0.828,0.825,0.827,0.756,0.698,0.800,0.759,0.689,0.750,0.310,0.782,0.600,0.341,0.476
FT + UKB,DRA,-0.027,-0.035,0.683,0.629,0.529,0.720,0.786,0.851,0.852,0.851,0.780,0.733,0.830,0.773,0.707,0.881,0.451,0.845,0.648,0.438,0.581
FT + UKB,PCA,-0.049,-0.053,0.661,0.611,0.513,0.683,0.781,0.845,0.845,0.845,0.763,0.700,0.826,0.740,0.715,0.880,0.384,0.844,0.619,0.428,0.533
FT + UKB,tSVD,-0.059,-0.060,0.651,0.604,0.509,0.665,0.768,0.835,0.833,0.835,0.762,0.702,0.820,0.728,0.723,0.858,0.360,0.830,0.623,0.427,0.522
