,vs mejor embedding,,,,,,,,,,,,,,,,,,,,
Embeddings,Media (Diferencia),Media Ponderada (Diferecia),Media,Media Ponderada,SimLex 999,MTurk 287,MTurk 771,MEN DEV,MEN TEST,MEN ALL,WS353 all,WS353 relatedness,WS353 similarity,WS353 set1,WS353 set2,RG65,VERB 143,MC 30,YP 130,SimVerb 3500,RW
FT_ppdb,0.024,0.033,0.699,0.653,0.584,0.740,0.784,0.843,0.851,0.846,0.786,0.723,0.843,0.742,0.764,0.856,0.494,0.835,0.680,0.484,0.605
FT_WN,-0.019,0.007,0.656,0.627,0.539,0.704,0.702,0.814,0.824,0.817,0.745,0.670,0.805,0.694,0.739,0.815,0.310,0.815,0.707,0.495,0.563
FT_WN+,-0.014,-0.006,0.661,0.614,0.578,0.697,0.754,0.824,0.830,0.826,0.750,0.669,0.835,0.713,0.728,0.886,0.305,0.875,0.667,0.492,0.441
GLOVE_ppdb,0.042,0.046,0.671,0.617,0.559,0.746,0.772,0.839,0.842,0.840,0.784,0.729,0.834,0.770,0.736,0.809,0.424,0.808,0.662,0.420,0.553
GLOVE_WN,0.014,0.033,0.643,0.604,0.523,0.726,0.726,0.824,0.830,0.826,0.757,0.693,0.810,0.744,0.707,0.778,0.317,0.778,0.687,0.433,0.525
GLOVE_WN+,0.017,0.018,0.646,0.589,0.536,0.734,0.753,0.832,0.836,0.834,0.765,0.693,0.834,0.753,0.716,0.828,0.329,0.827,0.641,0.417,0.440
jointcHYB_ppdb,0.028,0.042,0.682,0.648,0.621,0.675,0.742,0.793,0.805,0.798,0.741,0.658,0.827,0.762,0.651,0.847,0.359,0.838,0.829,0.595,0.458
jointcHYB_WN,-0.010,-0.001,0.644,0.605,0.546,0.654,0.646,0.763,0.770,0.766,0.738,0.650,0.816,0.739,0.657,0.840,0.248,0.851,0.833,0.580,0.378
jointcHYB_WN+,0.000,0.001,0.654,0.607,0.586,0.656,0.683,0.774,0.782,0.777,0.745,0.652,0.833,0.760,0.661,0.863,0.262,0.892,0.831,0.590,0.310
LEXVEC_ppdb,0.037,0.016,0.667,0.622,0.567,0.747,0.764,0.821,0.829,0.824,0.741,0.661,0.826,0.728,0.704,0.772,0.494,0.780,0.634,0.437,0.576
LEXVEC_WN,0.003,-0.006,0.633,0.600,0.520,0.711,0.703,0.800,0.807,0.802,0.700,0.615,0.783,0.687,0.659,0.764,0.323,0.777,0.678,0.447,0.536
LEXVEC_WN+,0.009,-0.018,0.639,0.588,0.552,0.731,0.755,0.812,0.815,0.813,0.716,0.620,0.821,0.714,0.657,0.827,0.312,0.837,0.619,0.434,0.435
PDC_ppdb,0.040,0.051,0.639,0.580,0.540,0.699,0.740,0.792,0.798,0.794,0.780,0.710,0.815,0.779,0.707,0.818,0.385,0.813,0.570,0.384,0.507
PDC_WN,-0.024,0.006,0.575,0.535,0.460,0.632,0.628,0.733,0.734,0.734,0.695,0.593,0.732,0.711,0.603,0.781,0.176,0.771,0.600,0.384,0.465
PDC_WN+,-0.019,-0.006,0.580,0.523,0.504,0.640,0.680,0.756,0.744,0.753,0.731,0.655,0.781,0.747,0.636,0.817,0.166,0.826,0.556,0.374,0.334
UKB_ppdb,0.050,0.055,0.680,0.665,0.622,0.670,0.745,0.774,0.794,0.781,0.734,0.654,0.797,0.776,0.625,0.825,0.334,0.844,0.799,0.602,0.529
UKB_WN,-0.014,0.002,0.616,0.612,0.522,0.645,0.640,0.736,0.742,0.738,0.679,0.564,0.764,0.724,0.556,0.796,0.067,0.851,0.798,0.569,0.466
UKB_WN+,-0.003,0.007,0.627,0.617,0.573,0.652,0.669,0.763,0.771,0.766,0.704,0.598,0.804,0.762,0.575,0.846,0.055,0.891,0.810,0.580,0.354
W2V_ppdb,0.045,0.051,0.661,0.606,0.543,0.719,0.714,0.791,0.796,0.793,0.722,0.638,0.808,0.691,0.688,0.812,0.539,0.821,0.612,0.443,0.558
W2V_WN,0.002,0.028,0.618,0.583,0.484,0.671,0.657,0.767,0.777,0.770,0.676,0.586,0.767,0.636,0.647,0.766,0.373,0.765,0.654,0.452,0.525
W2V_WN+,0.011,0.015,0.627,0.570,0.520,0.677,0.698,0.775,0.781,0.777,0.683,0.582,0.795,0.660,0.628,0.839,0.382,0.850,0.616,0.438,0.417
SKE_ppdb,0.045,0.100,0.655,0.592,0.519,0.762,0.745,0.798,0.810,0.802,0.747,0.678,0.789,0.744,0.695,0.776,0.492,0.792,0.633,0.397,0.540
SKE_WN,-0.008,0.069,0.602,0.561,0.458,0.726,0.667,0.762,0.772,0.765,0.690,0.602,0.743,0.691,0.659,0.741,0.277,0.744,0.649,0.404,0.499
SKE_WN+,0.006,0.063,0.616,0.555,0.497,0.730,0.725,0.786,0.794,0.789,0.709,0.607,0.790,0.717,0.655,0.818,0.266,0.825,0.619,0.394,0.404
GLOVE_ppdbcatWN ,0.020,0.035,0.649,0.606,0.523,0.728,0.726,0.824,0.830,0.826,0.757,0.693,0.810,0.743,0.709,0.778,0.367,0.778,0.687,0.433,0.531
GLOVE_ppdbcatWN+ ,0.023,0.021,0.652,0.592,0.536,0.738,0.753,0.832,0.836,0.834,0.766,0.693,0.835,0.752,0.719,0.828,0.380,0.827,0.641,0.417,0.448
W2V_ppdbcatWN ,0.010,0.030,0.626,0.585,0.484,0.677,0.657,0.767,0.777,0.770,0.673,0.582,0.767,0.632,0.645,0.766,0.459,0.765,0.654,0.452,0.532
W2V_ppdbcatWN+ ,0.021,0.018,0.637,0.573,0.520,0.687,0.698,0.775,0.781,0.777,0.681,0.580,0.797,0.657,0.627,0.839,0.477,0.850,0.616,0.438,0.428
FT_ppdbcatWN ,-0.010,0.010,0.665,0.630,0.539,0.713,0.702,0.814,0.824,0.817,0.747,0.673,0.808,0.693,0.744,0.815,0.397,0.815,0.707,0.495,0.571
FT_ppdbcatWN+ ,-0.004,-0.003,0.671,0.617,0.578,0.712,0.754,0.824,0.830,0.826,0.752,0.671,0.840,0.712,0.734,0.886,0.389,0.875,0.667,0.492,0.452
jointcHYB_ppdbcatWN ,-0.008,0.003,0.646,0.609,0.546,0.665,0.645,0.763,0.770,0.766,0.739,0.650,0.820,0.736,0.663,0.840,0.248,0.851,0.833,0.580,0.399
jointcHYB_ppdbcatWN+ ,0.003,0.004,0.657,0.610,0.586,0.670,0.683,0.774,0.782,0.777,0.748,0.654,0.837,0.757,0.670,0.863,0.258,0.892,0.831,0.590,0.326
UKB_ppdbcatWN ,-0.014,0.002,0.616,0.612,0.522,0.645,0.640,0.736,0.742,0.738,0.679,0.564,0.764,0.724,0.556,0.796,0.067,0.851,0.798,0.569,0.466
UKB_ppdbcatWN+ ,-0.003,0.007,0.627,0.617,0.573,0.652,0.669,0.763,0.771,0.766,0.704,0.598,0.804,0.762,0.575,0.846,0.055,0.891,0.810,0.580,0.354
LEXVEC_ppdbcatWN ,0.012,-0.004,0.642,0.602,0.520,0.717,0.703,0.800,0.807,0.802,0.701,0.617,0.784,0.686,0.662,0.764,0.408,0.777,0.678,0.447,0.539
LEXVEC_ppdbcatWN+ ,0.019,-0.016,0.649,0.590,0.552,0.742,0.754,0.812,0.815,0.813,0.719,0.624,0.824,0.715,0.660,0.827,0.405,0.837,0.619,0.434,0.441
W2V_ppdbcatWN ,0.010,0.030,0.626,0.585,0.484,0.677,0.657,0.767,0.777,0.770,0.673,0.582,0.767,0.632,0.645,0.766,0.459,0.765,0.654,0.452,0.532
W2V_ppdbcatWN+ ,0.021,0.018,0.637,0.573,0.520,0.687,0.698,0.775,0.781,0.777,0.681,0.580,0.797,0.657,0.627,0.839,0.477,0.850,0.616,0.438,0.428
UKB_ppdbcatWN ,-0.014,0.002,0.616,0.612,0.522,0.645,0.640,0.736,0.742,0.738,0.679,0.564,0.764,0.724,0.556,0.796,0.067,0.851,0.798,0.569,0.466
UKB_ppdbcatWN+ ,-0.003,0.007,0.627,0.617,0.573,0.652,0.669,0.763,0.771,0.766,0.704,0.598,0.804,0.762,0.575,0.846,0.055,0.891,0.810,0.580,0.354
